tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share
259,19.87,19.87,19.88,19.9,19.87,19.88,19.91,0.0,0.0,0.0
259,19.87,19.87,19.88,19.9,19.87,19.88,19.91,0.0,0.0,0.0
259,19.87,19.87,19.88,19.9,19.87,19.88,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
259,19.87,19.88,19.89,19.9,19.87,19.89,19.91,0.0,0.0,0.0
260,19.85,19.87,19.88,19.88,19.87,19.88,19.91,0.0,0.0,0.0
260,19.85,19.87,19.88,19.88,19.87,19.88,19.91,0.0,0.0,0.0
