tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share,realized
92,20.25,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.25,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.25,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.25,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.25,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
92,20.27,20.27,20.27,20.28,20.21,20.27,20.33,0.0,0.0,0.0,-19400.0
93,20.28,20.25,20.28,20.31,20.21,20.28,20.33,0.0,0.0,0.0,-19400.0
93,20.28,20.25,20.28,20.31,20.21,20.28,20.33,0.0,0.0,0.0,-19400.0
93,20.28,20.25,20.28,20.31,20.21,20.28,20.33,0.0,0.0,0.0,-19400.0
93,20.28,20.25,20.28,20.31,20.21,20.28,20.33,0.0,0.0,0.0,-19400.0
93,20.28,20.25,20.28,20.31,20.21,20.28,20.33,0.0,0.0,0.0,-19400.0
93,20.28,20.25,20.28,20.31,20.21,20.28,20.33,0.0,0.0,0.0,-19400.0
