tick,n_open_orders,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share,realized
266,0,19.96,19.93,19.96,19.99,19.82,19.96,20.0,5000.0,19.71,0.25,-2235.0
266,0,19.96,19.93,19.96,19.99,19.82,19.96,20.0,5000.0,19.71,0.25,-2235.0
266,0,19.96,19.93,19.96,19.99,19.82,19.96,20.0,5000.0,19.71,0.25,-2235.0
266,0,19.96,19.93,19.96,19.99,19.82,19.96,20.0,5000.0,19.71,0.25,-2235.0
266,0,19.96,19.98,19.98,19.99,19.84,19.98,20.02,5000.0,19.71,0.2699999999999996,-2235.0
267,0,19.88,19.85,19.88,19.91,19.74,19.88,19.91,5000.0,19.71,0.16999999999999815,-2235.0
267,0,19.88,19.85,19.88,19.91,19.74,19.88,19.91,5000.0,19.71,0.16999999999999815,-2235.0
267,0,19.91,19.86,19.88,19.89,19.74,19.88,19.91,5000.0,19.71,0.16999999999999815,-2235.0
268,0,19.9,19.87,19.88,19.9,19.74,19.88,19.91,5000.0,19.71,0.16999999999999815,-2235.0
268,0,19.9,19.87,19.88,19.9,19.74,19.88,19.91,5000.0,19.71,0.16999999999999815,-2235.0
269,0,19.85,19.82,19.85,19.88,19.71,19.85,19.89,5000.0,19.71,0.14000000000000057,-2235.0
269,0,19.85,19.82,19.85,19.88,19.71,19.85,19.89,5000.0,19.71,0.14000000000000057,-2235.0
269,0,19.85,19.83,19.84,19.86,19.7,19.84,19.88,5000.0,19.71,0.129999999999999,-2235.0
270,0,19.84,19.82,19.84,19.87,19.7,19.84,19.88,5000.0,19.71,0.129999999999999,-2235.0
270,0,19.84,19.82,19.84,19.87,19.7,19.84,19.88,5000.0,19.71,0.129999999999999,-2235.0
271,0,19.86,19.83,19.86,19.89,19.72,19.86,19.89,5000.0,19.71,0.14999999999999858,-2235.0
271,0,19.86,19.83,19.84,19.86,19.7,19.84,19.88,5000.0,19.71,0.129999999999999,-2235.0
271,0,19.83,19.83,19.84,19.86,19.7,19.84,19.88,5000.0,19.71,0.129999999999999,-2235.0
272,0,19.85,19.82,19.82,19.83,19.68,19.82,19.86,5000.0,19.71,0.10999999999999943,-2235.0
272,0,19.82,19.82,19.82,19.83,19.68,19.82,19.86,5000.0,19.71,0.10999999999999943,-2235.0
273,0,19.83,19.8,19.83,19.86,19.69,19.83,19.86,5000.0,19.71,0.11999999999999744,-2235.0
273,0,19.86,19.8,19.82,19.84,19.68,19.82,19.86,5000.0,19.71,0.10999999999999943,-2235.0
273,0,19.8,19.8,19.82,19.84,19.68,19.82,19.86,5000.0,19.71,0.10999999999999943,-2235.0
274,0,19.85,19.84,19.85,19.86,19.71,19.85,19.89,5000.0,19.71,0.14000000000000057,-2235.0
274,0,19.84,19.84,19.85,19.86,19.71,19.85,19.89,5000.0,19.71,0.14000000000000057,-2235.0
275,0,19.92,19.89,19.92,19.95,19.78,19.92,19.95,5000.0,19.71,0.21000000000000085,-2235.0
275,0,19.89,19.89,19.92,19.95,19.85,19.92,19.99,0.0,0.0,0.0,-1385.0
275,0,19.89,19.89,19.91,19.92,19.84,19.91,19.98,0.0,0.0,0.0,-1385.0
276,0,19.95,19.92,19.95,19.98,19.88,19.95,20.02,0.0,0.0,0.0,-1385.0
276,0,19.95,19.92,19.95,19.97,19.88,19.95,20.02,0.0,0.0,0.0,-1385.0
277,0,19.94,19.91,19.94,19.97,19.87,19.94,20.01,0.0,0.0,0.0,-1385.0
277,0,19.94,19.91,19.94,19.97,19.87,19.94,20.01,0.0,0.0,0.0,-1385.0
277,0,19.91,19.94,19.95,19.97,19.88,19.95,20.02,0.0,0.0,0.0,-1385.0
278,0,19.95,19.92,19.95,19.98,19.88,19.95,20.02,0.0,0.0,0.0,-1385.0
278,0,19.95,19.92,19.94,19.95,19.87,19.94,20.01,0.0,0.0,0.0,-1385.0
279,0,19.97,19.94,19.97,20.0,19.9,19.97,20.04,0.0,0.0,0.0,-1385.0
279,0,19.97,19.94,19.97,20.0,19.9,19.97,20.04,0.0,0.0,0.0,-1385.0
279,0,19.94,19.98,19.99,20.0,19.92,19.99,20.06,0.0,0.0,0.0,-1385.0
280,0,19.95,19.92,19.95,19.98,19.88,19.95,20.02,0.0,0.0,0.0,-1385.0
