tick,last,bid,pmid,ask,best_bid,mid,best_ask,bid_vwap,ask_vwap,LOB_imbalance,LOB_mass_imbalance,vol,time_factor,vol_spread,trend,trend_confidence,gtrend,gtrend_confidence,position,current_bid,position_vwap,current_ask
10,19.94,19.91,19.94,19.97,19.91,19.94,19.97,19.91,19.97,0.0,-5.921189464667628e-14,0.0018741076718281676,0,0,-0.00033207819580592917,0.5603320202628455,-0.00033207819580592917,0.5603320202628455,0.0,0,0.0,0
10,19.94,19.91,19.94,19.97,19.93,19.95,19.97,19.908594989288783,19.972832490683377,-0.00046505829060404145,-0.28912270285471375,0.0018741076718281676,0.5118848726814588,0.05,-0.00033207819580592917,0.5603320202628455,-0.00033207819580592917,0.5603320202628455,0.0,19.89,0.0,19.99
10,19.94,19.93,19.95,19.97,19.93,19.95,19.97,19.908594989288783,19.972832490683377,-0.00046505829060404145,-0.28912270285471375,0.0018741076718281676,0.5118848726814588,0.05,-0.00033207819580592917,0.5603320202628455,-0.00033207819580592917,0.5603320202628455,0.0,19.89,0.0,19.99
10,19.94,19.93,19.95,19.97,19.93,19.95,19.97,19.908594989288783,19.972832490683377,-0.00046505829060404145,-0.28912270285471375,0.0018741076718281676,0.5118848726814588,0.05,-0.00033207819580592917,0.5603320202628455,-0.00033207819580592917,0.5603320202628455,0.0,19.89,0.0,19.99
10,19.94,19.93,19.95,19.97,19.93,19.95,19.97,19.908594989288783,19.972832490683377,-0.00046505829060404145,-0.28912270285471375,0.0018741076718281676,0.5118848726814588,0.05,-0.00033207819580592917,0.5603320202628455,-0.00033207819580592917,0.5603320202628455,0.0,19.89,0.0,19.99
10,19.94,19.93,19.95,19.97,19.93,19.95,19.97,19.908594989288783,19.972832490683377,-0.00046505829060404145,-0.28912270285471375,0.0018741076718281676,0.5118848726814588,0.05,-0.00033207819580592917,0.5603320202628455,-0.00033207819580592917,0.5603320202628455,0.0,19.89,0.0,19.99
10,19.94,19.93,19.95,19.97,19.93,19.95,19.97,19.908594989288783,19.972832490683377,-0.00046505829060404145,-0.28912270285471375,0.0018018187755801517,0.5118848726814588,0.05,-0.000387947761137478,0.6808662221025366,-0.000387947761137478,0.6808662221025366,0.0,19.89,0.0,19.99
10,19.93,19.93,19.95,19.97,19.93,19.95,19.97,19.908572886710523,19.972832490683377,-0.0009810861247098073,-0.2893672144937849,0.0018018187755801517,0.5118848726814588,0.05,-0.000387947761137478,0.6808662221025366,-0.000387947761137478,0.6808662221025366,0.0,19.89,0.0,19.99
10,19.93,19.93,19.95,19.97,19.93,19.95,19.97,19.908572886710523,19.972832490683377,-0.0009810861247098073,-0.2893672144937849,0.0018018187755801517,0.5118848726814588,0.05,-0.000387947761137478,0.6808662221025366,-0.000387947761137478,0.6808662221025366,0.0,19.89,0.0,19.99
10,19.93,19.93,19.95,19.97,19.93,19.95,19.97,19.908572886710523,19.972832490683377,-0.0009810861247098073,-0.2893672144937849,0.0018018187755801517,0.5118848726814588,0.05,-0.000387947761137478,0.6808662221025366,-0.000387947761137478,0.6808662221025366,0.0,19.89,0.0,19.99
10,19.93,19.93,19.95,19.97,19.93,19.95,19.97,19.908572886710523,19.972832490683377,-0.0009810861247098073,-0.2893672144937849,0.0018018187755801517,0.5118848726814588,0.05,-0.000387947761137478,0.6808662221025366,-0.000387947761137478,0.6808662221025366,0.0,19.89,0.0,19.99
10,19.93,19.93,19.95,19.97,19.93,19.95,19.97,19.908572886710523,19.972832490683377,-0.0009810861247098073,-0.2893672144937849,0.0018018187755801517,0.5118848726814588,0.05,-0.000387947761137478,0.6808662221025366,-0.000387947761137478,0.6808662221025366,0.0,19.89,0.0,19.99
10,19.93,19.93,19.95,19.97,19.93,19.95,19.97,19.908572886710523,19.972832490683377,-0.0009810861247098073,-0.2893672144937849,0.0018018187755801517,0.5118848726814588,0.05,-0.000387947761137478,0.6808662221025366,-0.000387947761137478,0.6808662221025366,0.0,19.89,0.0,19.99
10,19.93,19.93,19.95,19.97,19.93,19.95,19.97,19.908572886710523,19.972832490683377,-0.0009810861247098073,-0.2893672144937849,0.0018018187755801517,0.5118848726814588,0.05,-0.000387947761137478,0.6808662221025366,-0.000387947761137478,0.6808662221025366,0.0,19.89,0.0,19.99
10,19.93,19.93,19.95,19.97,19.93,19.95,19.97,19.908572886710523,19.972860030707757,-0.0014881983103408013,-0.2888148613744179,0.0018018187755801517,0.5118848726814588,0.05,-0.000387947761137478,0.6808662221025366,-0.000387947761137478,0.6808662221025366,0.0,19.89,0.0,19.99
10,19.93,19.93,19.95,19.97,19.93,19.95,19.97,19.908572886710523,19.972860030707757,-0.0014881983103408013,-0.2888148613744179,0.0018018187755801517,0.5118848726814588,0.05,-0.000387947761137478,0.6808662221025366,-0.000387947761137478,0.6808662221025366,0.0,19.89,0.0,19.99
10,19.93,19.93,19.95,19.97,19.93,19.95,19.97,19.908572886710523,19.972860030707757,-0.0014881983103408013,-0.2888148613744179,0.0018018187755801517,0.5118848726814588,0.05,-0.000387947761137478,0.6808662221025366,-0.000387947761137478,0.6808662221025366,0.0,19.89,0.0,19.99
10,19.93,19.93,19.95,19.97,19.93,19.95,19.97,19.908572886710523,19.972860030707757,-0.0014881983103408013,-0.2888148613744179,0.0018018187755801517,0.5118848726814588,0.05,-0.000387947761137478,0.6808662221025366,-0.000387947761137478,0.6808662221025366,0.0,19.89,0.0,19.99
10,19.93,19.93,19.95,19.97,19.93,19.95,19.97,19.908572886710523,19.972860030707757,-0.0014881983103408013,-0.2888148613744179,0.0018018187755801517,0.5118848726814588,0.05,-0.000387947761137478,0.6808662221025366,-0.000387947761137478,0.6808662221025366,0.0,19.89,0.0,19.99
