tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share,realized
197,19.85,19.84,19.86,19.88,19.81,19.86,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.85,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.87,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.87,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.87,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.87,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
197,19.87,19.87,19.88,19.88,19.81,19.88,19.91,0.0,0.0,0.0,300.0
198,19.83,19.84,19.85,19.86,19.81,19.85,19.91,0.0,0.0,0.0,300.0
198,19.83,19.84,19.85,19.86,19.81,19.85,19.91,0.0,0.0,0.0,300.0
198,19.83,19.84,19.85,19.86,19.81,19.85,19.91,0.0,0.0,0.0,300.0
198,19.83,19.84,19.85,19.86,19.81,19.85,19.91,0.0,0.0,0.0,300.0
198,19.83,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.83,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.83,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.83,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.83,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.83,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.83,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.83,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.83,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.83,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.83,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
198,19.85,19.85,19.86,19.86,19.81,19.86,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.87,19.89,19.81,19.87,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.87,19.89,19.81,19.87,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.87,19.89,19.81,19.87,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.87,19.89,19.81,19.87,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.87,19.89,19.81,19.87,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.86,19.88,19.81,19.86,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.86,19.88,19.81,19.86,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.86,19.88,19.81,19.86,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.86,19.88,19.81,19.86,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.86,19.88,19.81,19.86,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.86,19.88,19.81,19.86,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.86,19.88,19.81,19.86,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.86,19.88,19.81,19.86,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.86,19.88,19.81,19.86,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.86,19.88,19.81,19.86,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.86,19.88,19.81,19.86,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
199,19.86,19.84,19.84,19.85,19.81,19.84,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.85,19.88,19.91,19.81,19.88,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
200,19.88,19.89,19.9,19.91,19.81,19.9,19.91,0.0,0.0,0.0,300.0
201,19.91,19.88,19.89,19.91,19.81,19.89,19.91,0.0,0.0,0.0,300.0
201,19.91,19.88,19.89,19.91,19.81,19.89,19.91,0.0,0.0,0.0,300.0
201,19.91,19.88,19.89,19.91,19.81,19.89,19.91,0.0,0.0,0.0,300.0
201,19.91,19.88,19.89,19.91,19.81,19.89,19.91,0.0,0.0,0.0,300.0
201,19.91,19.88,19.89,19.91,19.81,19.89,19.91,0.0,0.0,0.0,300.0
