tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share,realized
128,20.39,20.36,20.39,20.42,20.34,20.39,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.39,20.42,20.34,20.39,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.39,20.42,20.34,20.39,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
128,20.39,20.36,20.38,20.41,20.34,20.38,20.44,0.0,0.0,0.0,650.0
