tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share
10,20.08,20.05,20.08,20.11,0,20.08,0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.08,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,20.03,20.05,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,20.08,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.08,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.08,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.08,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.08,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.08,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.08,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.08,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.08,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.08,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.08,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.08,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.08,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
11,20.05,20.05,20.06,20.07,20.03,20.06,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
12,20.09,20.06,20.09,20.12,20.03,20.09,20.13,0.0,0.0,0.0
