tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl,pnl_threshold,realized
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.68,15.7,15.72,14.93,15.7,16.47,0.0,0.0,0,0,0.0
187,15.7,15.71,15.71,15.72,14.93,15.71,16.47,0.0,0.0,0,0,0.0
187,15.7,15.71,15.71,15.72,14.93,15.71,16.47,0.0,0.0,0,0,0.0
187,15.7,15.71,15.71,15.72,14.93,15.71,16.47,0.0,0.0,0,0,0.0
188,15.72,15.69,15.72,15.75,14.93,15.72,16.47,0.0,0.0,0,0,0.0
188,15.72,15.69,15.72,15.75,14.93,15.72,16.47,0.0,0.0,0,0,0.0
188,15.72,15.69,15.72,15.75,14.93,15.72,16.47,0.0,0.0,0,0,0.0
188,15.72,15.69,15.72,15.75,14.93,15.72,16.47,0.0,0.0,0,0,0.0
188,15.72,15.69,15.72,15.75,14.93,15.72,16.47,0.0,0.0,0,0,0.0
188,15.72,15.69,15.72,15.75,14.93,15.72,16.47,0.0,0.0,0,0,0.0
188,15.72,15.69,15.72,15.75,14.93,15.72,16.47,0.0,0.0,0,0,0.0
188,15.72,15.69,15.72,15.75,14.93,15.72,16.47,0.0,0.0,0,0,0.0
188,15.72,15.69,15.72,15.75,14.93,15.72,16.47,0.0,0.0,0,0,0.0
188,15.69,15.7,15.72,15.74,14.93,15.72,16.47,0.0,0.0,0,0,0.0
188,15.69,15.7,15.72,15.74,14.93,15.72,16.47,0.0,0.0,0,0,0.0
188,15.69,15.7,15.72,15.74,14.93,15.72,16.47,0.0,0.0,0,0,0.0
188,15.69,15.7,15.72,15.74,14.93,15.72,16.47,0.0,0.0,0,0,0.0
188,15.69,15.7,15.72,15.74,14.93,15.72,16.47,0.0,0.0,0,0,0.0
