tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl,pnl_threshold,realized
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.12,20.15,20.18,20.04,20.15,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
18,20.15,20.14,20.16,20.18,20.04,20.16,20.26,0.0,0.0,0,0,0.0
19,20.17,20.14,20.17,20.2,20.04,20.17,20.26,0.0,0.0,0,0,0.0
19,20.17,20.14,20.17,20.2,20.04,20.17,20.26,0.0,0.0,0,0,0.0
19,20.17,20.14,20.17,20.2,20.04,20.17,20.26,0.0,0.0,0,0,0.0
19,20.17,20.14,20.17,20.2,20.04,20.17,20.26,0.0,0.0,0,0,0.0
