tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl,pnl_threshold,realized
20,20.12,20.09,20.12,20.15,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.15,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.15,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.15,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
20,20.12,20.09,20.12,20.14,20.02,20.12,20.22,0.0,0.0,0,0,0.0
