tick,last,bid,pmid,ask,best_bid,mid,best_ask,bid_vwap,ask_vwap,LOB_imbalance,LOB_mass_imbalance,vol,time_factor,vol_spread,gtrend,gtrend_confidence,position,current_bid,position_vwap,current_ask
22,19.93,19.89,19.91,19.93,19.89,19.91,19.93,19.868077064604964,19.932732469610293,0.0004443366864754403,-0.29681146971642475,0.0016629618712753727,0,0,-9.409409809879403e-05,-0.26539401962681697,0.0,0,0.0,0
23,19.89,19.89,19.91,19.93,19.89,19.91,19.93,19.887643164482306,19.951927784565605,0.00026627151577782464,0.3044421670774529,0.0016733788276181152,0.6330771318069562,0.05,-0.00018105692718796822,-0.5189009785029535,0.0,19.86,0.0,19.96
23,19.89,19.89,19.91,19.93,19.89,19.91,19.93,19.887643164482306,19.951927784565605,0.00026627151577782464,0.3044421670774529,0.0016733788276181152,0.6330771318069562,0.05,-0.00018105692718796822,-0.5189009785029535,0.0,19.86,0.0,19.96
23,19.89,19.89,19.91,19.93,19.89,19.91,19.93,19.887643164482306,19.951927784565605,0.00026627151577782464,0.3044421670774529,0.0016733788276181152,0.6330771318069562,0.05,-0.00018105692718796822,-0.5189009785029535,0.0,19.86,0.0,19.96
23,19.89,19.89,19.91,19.93,19.89,19.91,19.93,19.887643164482306,19.951927784565605,0.00026627151577782464,0.3044421670774529,0.0016733788276181152,0.6330771318069562,0.05,-0.00018105692718796822,-0.5189009785029535,0.0,19.86,0.0,19.96
23,19.89,19.89,19.91,19.93,19.89,19.91,19.93,19.887643164482306,19.951927784565605,0.00026627151577782464,0.3044421670774529,0.0016733788276181152,0.6330771318069562,0.05,-0.00018105692718796822,-0.5189009785029535,0.0,19.86,0.0,19.96
23,19.89,19.89,19.91,19.93,19.89,19.91,19.93,19.887643164482306,19.951927784565605,0.00026627151577782464,0.3044421670774529,0.0016733788276181152,0.6330771318069562,0.05,-0.00018105692718796822,-0.5189009785029535,0.0,19.86,0.0,19.96
24,19.9,19.87,19.9,19.93,19.87,19.9,19.93,19.86999500249875,19.93001499250375,0.0,0.00016652789350745197,0.0016411343124732992,0.6330771318069562,0.05,-0.00015132358679191083,-0.45171845020918117,0.0,19.86,0.0,19.96
24,19.9,19.87,19.9,19.93,19.87,19.9,19.93,19.86999500249875,19.93001499250375,0.0,0.00016652789350745197,0.0016411343124732992,0.6330771318069562,0.05,-0.00015132358679191083,-0.45171845020918117,0.0,19.86,0.0,19.96
24,19.9,19.87,19.9,19.93,19.87,19.9,19.93,19.86999500249875,19.93001499250375,0.0,0.00016652789350745197,0.0016411343124732992,0.6330771318069562,0.05,-0.00015132358679191083,-0.45171845020918117,0.0,19.86,0.0,19.96
