tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl,pnl_threshold,realized
10,20.08,20.05,20.08,20.11,19.99,20.08,20.17,0.0,0.0,0,0,0.0
10,20.08,20.05,20.08,20.11,19.99,20.08,20.17,0.0,0.0,0,0,0.0
10,20.08,20.05,20.08,20.11,19.99,20.08,20.17,0.0,0.0,0,0,0.0
10,20.08,20.05,20.08,20.11,19.99,20.08,20.17,0.0,0.0,0,0,0.0
10,20.11,20.07,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.07,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.07,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.07,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.07,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.07,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.07,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.07,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.07,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.07,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.07,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.07,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.07,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
10,20.11,20.08,20.09,20.11,19.99,20.09,20.17,0.0,0.0,0,0,0.0
