tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl,pnl_threshold,realized
167,15.91,15.85,15.87,15.89,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.91,15.85,15.87,15.89,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.91,15.85,15.87,15.89,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.91,15.85,15.87,15.89,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.91,15.85,15.87,15.89,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.91,15.85,15.87,15.89,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.91,15.85,15.87,15.89,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.91,15.85,15.87,15.89,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.91,15.85,15.87,15.89,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.88,15.9,0,15.88,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.88,15.9,0,15.88,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.88,15.9,0,15.88,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.88,15.9,0,15.88,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.88,15.9,0,15.88,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.88,15.9,0,15.88,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.88,15.9,0,15.88,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.88,15.9,0,15.88,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.88,15.9,0,15.88,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.88,15.9,0,15.88,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.88,15.9,0,15.88,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.88,15.9,0,15.88,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.87,15.88,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.87,15.88,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.87,15.88,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.87,15.88,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.87,15.88,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.87,15.88,0,15.87,0,5000.0,19.21,0,0,25.0
167,15.9,15.85,15.87,15.88,0,15.87,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.88,15.91,15.94,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.93,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.91,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.91,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.91,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.91,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.91,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.91,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.91,15.9,15.91,15.91,0,15.91,0,5000.0,19.21,0,0,25.0
168,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.11,15.14,0,15.11,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.09,15.11,0,15.09,0,5000.0,19.21,0,0,25.0
169,15.11,15.08,15.09,15.11,0,15.09,0,5000.0,19.21,0,0,25.0
