tick,n_open_orders,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share,realized
10,0,20.08,20.05,20.08,20.11,19.44,20.08,20.72,0.0,0.0,0.0,0.0
10,0,20.08,20.05,20.08,20.11,19.44,20.08,20.72,0.0,0.0,0.0,0.0
10,0,20.08,20.05,20.08,20.11,19.44,20.08,20.72,0.0,0.0,0.0,0.0
10,0,20.08,20.05,20.07,20.09,19.43,20.07,20.71,0.0,0.0,0.0,0.0
10,0,20.08,20.05,20.07,20.09,19.43,20.07,20.71,0.0,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,19.48,20.08,20.68,0.0,0.0,0.0,0.0
11,0,20.08,20.06,20.07,20.08,19.47,20.07,20.67,0.0,0.0,0.0,0.0
11,0,20.08,20.06,20.07,20.08,19.47,20.07,20.67,0.0,0.0,0.0,0.0
12,0,20.09,20.06,20.09,20.12,19.52,20.09,20.66,0.0,0.0,0.0,0.0
12,0,20.09,20.08,20.1,20.12,19.53,20.1,20.67,0.0,0.0,0.0,0.0
13,0,20.12,20.09,20.12,20.15,19.57,20.12,20.67,0.0,0.0,0.0,0.0
13,0,20.12,20.09,20.12,20.15,19.57,20.12,20.67,0.0,0.0,0.0,0.0
13,0,20.12,20.14,20.14,20.15,19.59,20.14,20.69,0.0,0.0,0.0,0.0
14,0,20.12,20.09,20.12,20.15,19.58,20.12,20.66,0.0,0.0,0.0,0.0
14,0,20.12,20.12,20.13,20.15,19.59,20.13,20.67,0.0,0.0,0.0,0.0
15,0,20.08,20.05,20.08,20.11,19.55,20.08,20.61,0.0,0.0,0.0,0.0
15,0,20.08,20.05,20.07,20.09,19.54,20.07,20.6,0.0,0.0,0.0,0.0
15,0,20.08,20.05,20.07,20.09,19.54,20.07,20.6,0.0,0.0,0.0,0.0
16,0,20.04,20.06,20.07,20.09,19.54,20.07,20.6,0.0,0.0,0.0,0.0
16,0,20.04,20.04,20.06,20.09,19.53,20.06,20.59,0.0,0.0,0.0,0.0
17,0,20.14,20.11,20.14,20.17,19.57,20.14,20.71,0.0,0.0,0.0,0.0
17,0,20.14,20.11,20.14,20.17,19.57,20.14,20.71,0.0,0.0,0.0,0.0
17,0,20.11,20.11,20.14,20.17,19.6,20.14,20.68,0.0,0.0,0.0,0.0
18,0,20.15,20.12,20.15,20.18,19.62,20.15,20.68,0.0,0.0,0.0,0.0
18,0,20.15,20.14,20.15,20.16,19.62,20.15,20.68,0.0,0.0,0.0,0.0
19,0,20.17,20.14,20.17,20.2,19.66,20.17,20.68,0.0,0.0,0.0,0.0
19,0,20.14,20.15,20.17,20.19,19.66,20.17,20.68,0.0,0.0,0.0,0.0
19,0,20.14,20.15,20.16,20.17,19.65,20.16,20.67,0.0,0.0,0.0,0.0
20,0,20.12,20.11,20.13,20.15,19.63,20.13,20.63,0.0,0.0,0.0,0.0
20,0,20.12,20.11,20.13,20.15,19.63,20.13,20.63,0.0,0.0,0.0,0.0
21,0,20.13,20.1,20.13,20.16,19.64,20.13,20.62,0.0,0.0,0.0,0.0
21,0,20.1,20.11,20.13,20.16,19.64,20.13,20.62,0.0,0.0,0.0,0.0
21,0,20.11,20.11,20.13,20.16,19.64,20.13,20.62,0.0,0.0,0.0,0.0
22,0,20.1,20.07,20.1,20.13,19.62,20.1,20.58,0.0,0.0,0.0,0.0
22,0,20.1,20.07,20.1,20.13,19.62,20.1,20.58,0.0,0.0,0.0,0.0
23,0,20.14,20.11,20.14,20.17,19.67,20.14,20.61,0.0,0.0,0.0,0.0
23,0,20.14,20.16,20.16,20.17,19.69,20.16,20.63,0.0,0.0,0.0,0.0
23,0,20.14,20.16,20.16,20.17,19.69,20.16,20.63,0.0,0.0,0.0,0.0
24,0,20.13,20.13,20.14,20.16,19.65,20.14,20.63,0.0,0.0,0.0,0.0
24,0,20.13,20.13,20.14,20.16,19.65,20.14,20.63,0.0,0.0,0.0,0.0
25,0,20.19,20.16,20.19,20.22,19.7,20.19,20.68,0.0,0.0,0.0,0.0
25,0,20.19,20.18,20.2,20.22,19.71,20.2,20.69,0.0,0.0,0.0,0.0
25,0,20.19,20.18,20.2,20.22,19.71,20.2,20.69,0.0,0.0,0.0,0.0
26,0,20.26,20.29,20.3,20.32,19.8,20.3,20.8,0.0,0.0,0.0,0.0
26,0,20.26,20.29,20.3,20.32,19.8,20.3,20.8,0.0,0.0,0.0,0.0
31,0,20.19,20.19,20.22,20.25,19.66,20.22,20.78,0.0,0.0,0.0,0.0
31,0,20.19,20.19,20.22,20.25,19.66,20.22,20.78,0.0,0.0,0.0,0.0
31,0,20.19,20.19,20.22,20.25,19.66,20.22,20.78,0.0,0.0,0.0,0.0
31,0,20.25,20.19,20.22,20.25,19.65,20.22,20.79,0.0,0.0,0.0,0.0
32,0,20.26,20.23,20.26,20.28,19.7,20.26,20.82,0.0,0.0,0.0,0.0
32,0,20.26,20.23,20.23,20.24,19.67,20.23,20.79,0.0,0.0,0.0,0.0
33,0,20.29,20.26,20.29,20.32,19.73,20.29,20.85,0.0,0.0,0.0,0.0
33,0,20.29,20.26,20.29,20.32,19.73,20.29,20.85,0.0,0.0,0.0,0.0
33,0,20.26,20.26,20.27,20.27,19.72,20.27,20.82,0.0,0.0,0.0,0.0
34,0,20.24,20.21,20.23,20.26,19.68,20.23,20.78,0.0,0.0,0.0,0.0
34,0,20.24,20.21,20.23,20.26,19.68,20.23,20.78,0.0,0.0,0.0,0.0
35,0,20.27,20.24,20.27,20.3,19.73,20.27,20.81,0.0,0.0,0.0,0.0
35,0,20.27,20.28,20.29,20.3,19.75,20.29,20.83,0.0,0.0,0.0,0.0
35,0,20.28,20.28,20.29,20.3,19.75,20.29,20.83,0.0,0.0,0.0,0.0
