tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl,pnl_threshold,realized
91,19.97,19.96,19.96,19.97,19.96,19.96,19.96,0.0,0.0,0,0,-4576.0
91,19.97,19.96,19.96,19.97,19.96,19.96,19.96,0.0,0.0,0,0,-4576.0
91,19.97,19.96,19.96,19.97,19.96,19.96,19.96,0.0,0.0,0,0,-4576.0
91,19.97,19.96,19.96,19.97,19.96,19.96,19.96,0.0,0.0,0,0,-4576.0
91,19.97,19.96,19.96,19.97,19.96,19.96,19.96,0.0,0.0,0,0,-4576.0
91,19.97,19.96,19.96,19.97,19.96,19.96,19.96,0.0,0.0,0,0,-4576.0
91,19.97,19.96,19.96,19.97,19.96,19.96,19.96,0.0,0.0,0,0,-4576.0
91,19.97,19.96,19.96,19.97,19.96,19.96,19.96,0.0,0.0,0,0,-4576.0
91,19.97,19.96,19.96,19.97,19.96,19.96,19.96,0.0,0.0,0,0,-4576.0
91,19.97,19.96,19.96,19.97,19.96,19.96,19.96,0.0,0.0,0,0,-4576.0
91,19.97,19.96,19.96,19.97,19.96,19.96,19.96,0.0,0.0,0,0,-4576.0
91,19.97,19.96,19.96,19.97,19.96,19.96,19.96,0.0,0.0,0,0,-4576.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
92,19.96,19.96,19.96,19.97,19.96,19.96,19.96,-5000.0,19.96,0.0,0.0,-4626.0
