tick,n_transacted,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share
10,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.05,20.06,20.08,20.03,20.06,20.13,0.0,0.0,0.0
10,0,20.08,20.09,20.1,20.11,20.03,20.1,20.13,0.0,0.0,0.0
10,0,20.08,20.09,20.1,20.11,20.03,20.1,20.13,0.0,0.0,0.0
10,0,20.08,20.09,20.1,20.11,20.03,20.1,20.13,0.0,0.0,0.0
10,0,20.08,20.09,20.1,20.11,20.03,20.1,20.13,0.0,0.0,0.0
10,0,20.08,20.09,20.1,20.11,20.03,20.1,20.13,0.0,0.0,0.0
10,0,20.08,20.09,20.1,20.11,20.03,20.1,20.13,0.0,0.0,0.0
10,0,20.08,20.09,20.1,20.11,20.03,20.1,20.13,0.0,0.0,0.0
10,0,20.08,20.09,20.1,20.11,20.03,20.1,20.13,0.0,0.0,0.0
10,0,20.08,20.09,20.1,20.11,20.03,20.1,20.13,0.0,0.0,0.0
10,0,20.08,20.09,20.1,20.11,20.03,20.1,20.13,0.0,0.0,0.0
10,0,20.08,20.09,20.1,20.11,20.03,20.1,20.13,0.0,0.0,0.0
10,0,20.08,20.09,20.1,20.11,20.03,20.1,20.13,0.0,0.0,0.0
10,0,20.08,20.09,20.1,20.11,20.03,20.1,20.13,0.0,0.0,0.0
10,0,20.05,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
11,0,20.08,20.05,20.08,20.11,20.03,20.08,20.13,0.0,0.0,0.0
