tick,n_open_orders,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share,realized
90,0,20.24,20.21,20.24,20.27,19.73,20.24,20.75,0.0,0.0,0.0,0.0
90,0,20.24,20.21,20.24,20.27,19.73,20.24,20.75,0.0,0.0,0.0,0.0
90,0,20.24,20.21,20.24,20.27,19.73,20.24,20.75,0.0,0.0,0.0,0.0
90,0,20.21,20.23,20.25,20.27,19.73,20.25,20.77,0.0,0.0,0.0,0.0
90,0,20.21,20.23,20.25,20.27,19.73,20.25,20.77,0.0,0.0,0.0,0.0
91,0,20.26,20.23,20.26,20.29,19.75,20.26,20.77,0.0,0.0,0.0,0.0
91,0,20.26,20.23,20.26,20.29,19.75,20.26,20.77,0.0,0.0,0.0,0.0
91,0,20.26,20.24,20.26,20.28,19.75,20.26,20.77,0.0,0.0,0.0,0.0
92,0,20.25,20.22,20.25,20.28,19.74,20.25,20.76,0.0,0.0,0.0,0.0
92,0,20.25,20.22,20.23,20.23,19.72,20.23,20.74,0.0,0.0,0.0,0.0
93,0,20.28,20.25,20.28,20.31,19.77,20.28,20.79,0.0,0.0,0.0,0.0
93,0,20.28,20.25,20.28,20.31,19.77,20.28,20.79,0.0,0.0,0.0,0.0
tick,n_open_orders,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share,realized
128,0,20.39,20.36,20.39,20.42,19.86,20.39,20.92,0.0,0.0,0.0,0.0
128,0,20.39,20.41,20.41,20.42,19.88,20.41,20.94,0.0,0.0,0.0,0.0
128,0,20.39,20.41,20.41,20.42,19.88,20.41,20.94,0.0,0.0,0.0,0.0
128,0,20.39,20.41,20.41,20.42,19.88,20.41,20.94,0.0,0.0,0.0,0.0
129,0,20.37,20.34,20.37,20.4,19.84,20.37,20.9,0.0,0.0,0.0,0.0
129,0,20.37,20.34,20.37,20.4,19.84,20.37,20.9,0.0,0.0,0.0,0.0
129,0,20.34,20.34,20.37,20.39,19.84,20.37,20.9,0.0,0.0,0.0,0.0
130,0,20.38,20.35,20.38,20.41,19.85,20.38,20.91,0.0,0.0,0.0,0.0
130,0,20.38,20.35,20.37,20.38,19.84,20.37,20.9,0.0,0.0,0.0,0.0
131,0,20.39,20.36,20.39,20.42,19.86,20.39,20.92,0.0,0.0,0.0,0.0
131,0,20.39,20.36,20.39,20.42,19.86,20.39,20.92,0.0,0.0,0.0,0.0
131,0,20.36,20.39,20.39,20.4,19.86,20.39,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.37,20.4,20.43,19.86,20.4,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.37,20.4,20.43,19.86,20.4,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.37,20.4,20.43,19.86,20.4,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.37,20.4,20.43,19.86,20.4,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.37,20.4,20.43,19.86,20.4,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.37,20.4,20.43,19.86,20.4,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.37,20.4,20.43,19.86,20.4,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.37,20.4,20.43,19.86,20.4,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.37,20.4,20.43,19.86,20.4,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.37,20.4,20.43,19.86,20.4,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.4,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.41,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.41,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.41,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.41,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.41,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.41,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.41,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.41,20.4,20.41,20.41,19.86,20.41,20.92,0.0,0.0,0.0,0.0
132,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.37,20.34,20.37,20.4,19.86,20.37,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
133,0,20.4,20.37,20.38,20.4,19.86,20.38,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.36,20.39,19.86,20.36,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.36,20.39,19.86,20.36,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.36,20.39,19.86,20.36,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.36,20.39,19.86,20.36,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.36,20.39,19.86,20.36,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.36,20.39,19.86,20.36,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.36,20.39,19.86,20.36,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.36,20.39,19.86,20.36,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.36,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
134,0,20.33,20.33,20.34,20.34,19.86,20.34,20.92,0.0,0.0,0.0,0.0
135,0,20.44,20.41,20.44,20.47,19.86,20.44,20.92,0.0,0.0,0.0,0.0
135,0,20.44,20.41,20.44,20.47,19.86,20.44,20.92,0.0,0.0,0.0,0.0
135,0,20.44,20.41,20.44,20.47,19.86,20.44,20.92,0.0,0.0,0.0,0.0
