tick,n_open_orders,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share,realized
112,0,20.32,20.29,20.3,20.3,20.18,20.3,20.3,5000.0,20.43,-0.129999999999999,-900.0
112,0,20.32,20.29,20.3,20.3,20.18,20.3,20.3,5000.0,20.43,-0.129999999999999,-900.0
112,0,20.32,20.29,20.3,20.3,20.18,20.3,20.3,5000.0,20.43,-0.129999999999999,-900.0
112,0,20.32,20.29,20.3,20.3,20.18,20.3,20.3,5000.0,20.43,-0.129999999999999,-900.0
112,0,20.32,20.29,20.3,20.3,20.18,20.3,20.3,5000.0,20.43,-0.129999999999999,-900.0
112,0,20.32,20.29,20.3,20.3,20.18,20.3,20.3,5000.0,20.43,-0.129999999999999,-900.0
112,0,20.32,20.29,20.3,20.3,20.18,20.3,20.3,5000.0,20.43,-0.129999999999999,-900.0
112,0,20.32,20.29,20.3,20.3,20.18,20.3,20.3,5000.0,20.43,-0.129999999999999,-900.0
112,0,20.32,20.29,20.3,20.3,20.18,20.3,20.3,5000.0,20.43,-0.129999999999999,-900.0
112,0,20.31,20.29,20.3,20.31,20.25,20.3,20.35,0.0,0.0,0.0,-1525.0
112,0,20.31,20.29,20.3,20.31,20.25,20.3,20.35,0.0,0.0,0.0,-1525.0
112,0,20.31,20.29,20.3,20.31,20.25,20.3,20.35,0.0,0.0,0.0,-1525.0
112,0,20.31,20.29,20.3,20.31,20.25,20.3,20.35,0.0,0.0,0.0,-1525.0
113,0,20.32,20.29,20.32,20.35,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.31,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.31,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.31,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.31,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.31,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.31,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.31,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.31,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.31,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.32,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.32,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.32,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.32,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
113,0,20.32,20.32,20.32,20.33,20.27,20.32,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.3,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.3,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.3,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.3,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.3,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.3,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.3,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.3,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.3,20.27,20.29,20.3,20.27,20.29,20.37,0.0,0.0,0.0,-1525.0
114,0,20.27,20.24,20.25,20.26,20.15,20.25,20.27,5000.0,20.27,-0.019999999999999574,-1500.0
114,0,20.27,20.24,20.25,20.26,20.15,20.25,20.27,5000.0,20.27,-0.019999999999999574,-1500.0
114,0,20.27,20.24,20.25,20.26,20.15,20.25,20.27,5000.0,20.27,-0.019999999999999574,-1500.0
114,0,20.27,20.24,20.25,20.26,20.15,20.25,20.27,5000.0,20.27,-0.019999999999999574,-1500.0
115,0,20.31,20.28,20.31,20.34,20.29,20.31,20.41,-1600.0,20.27,-0.03999999999999915,-1491.0
115,0,20.3,20.28,20.29,20.3,20.24,20.29,20.34,1800.0,20.3,-0.010000000000001563,-1773.0
116,0,20.31,20.28,20.31,20.34,20.26,20.31,20.36,1800.0,20.3,0.00999999999999801,-1773.0
116,0,20.31,20.31,20.31,20.32,20.26,20.31,20.36,1800.0,20.3,0.00999999999999801,-1773.0
117,0,20.34,20.31,20.34,20.37,20.29,20.34,20.39,1800.0,20.3,0.03999999999999915,-1773.0
117,0,20.34,20.36,20.37,20.37,20.32,20.37,20.42,1800.0,20.3,0.07000000000000028,-1773.0
117,0,20.34,20.36,20.37,20.37,20.32,20.37,20.42,1800.0,20.3,0.07000000000000028,-1773.0
118,0,20.32,20.29,20.3,20.3,20.2,20.3,20.33,6800.0,20.314705882352943,-0.014705882352942012,-1823.0
118,0,20.32,20.29,20.3,20.3,20.2,20.3,20.33,6800.0,20.314705882352943,-0.014705882352942012,-1823.0
118,0,20.32,20.29,20.3,20.3,20.2,20.3,20.33,6800.0,20.314705882352943,-0.014705882352942012,-1823.0
118,0,20.32,20.29,20.3,20.3,20.2,20.3,20.33,6800.0,20.314705882352943,-0.014705882352942012,-1823.0
118,0,20.32,20.29,20.3,20.3,20.2,20.3,20.33,6800.0,20.314705882352943,-0.014705882352942012,-1823.0
118,0,20.32,20.29,20.3,20.3,20.2,20.3,20.33,6800.0,20.314705882352943,-0.014705882352942012,-1823.0
118,0,20.32,20.29,20.3,20.3,20.2,20.3,20.33,6800.0,20.314705882352943,-0.014705882352942012,-1823.0
118,0,20.24,20.21,20.24,20.27,20.2,20.24,20.33,6800.0,20.314705882352943,-0.07470588235294429,-1823.0
119,0,20.24,20.21,20.24,20.27,20.2,20.24,20.33,6800.0,20.314705882352943,-0.07470588235294429,-1823.0
119,0,20.24,20.21,20.24,20.27,20.2,20.24,20.33,6800.0,20.314705882352943,-0.07470588235294429,-1823.0
119,0,20.24,20.21,20.24,20.27,20.2,20.24,20.33,6800.0,20.314705882352943,-0.07470588235294429,-1823.0
119,0,20.24,20.21,20.24,20.27,20.2,20.24,20.33,6800.0,20.314705882352943,-0.07470588235294429,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
119,0,20.24,20.21,20.23,20.26,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
