tick,avg_trade_volume,total_volume
0,27900.0,55800.0
1,28000.0,56000.0
3,27925.0,111700.0
4,49800.0,49800.0
6,45100.0,45100.0
7,52400.0,52400.0
8,44300.0,44300.0
9,29550.0,59100.0
10,43200.0,43200.0
11,48000.0,48000.0
12,42100.0,42100.0
15,45900.0,45900.0
17,49700.0,99400.0
21,31433.333333333332,94300.0
22,28600.0,57200.0
23,44700.0,44700.0
25,35700.0,107100.0
26,41700.0,41700.0
32,51050.0,102100.0
33,23700.0,47400.0
35,44250.0,88500.0
37,33333.333333333336,100000.0
38,38600.0,38600.0
39,50400.0,50400.0
40,39250.0,78500.0
43,27550.0,55100.0
44,42400.0,42400.0
47,46200.0,46200.0
48,50300.0,50300.0
49,25200.0,50400.0
54,42450.0,84900.0
55,49700.0,49700.0
56,27300.0,54600.0
57,26750.0,53500.0
58,24925.0,99700.0
59,45300.0,45300.0
60,43800.0,43800.0
61,34825.0,139300.0
67,20950.0,41900.0
69,29700.0,89100.0
70,38400.0,76800.0
71,29300.0,87900.0
72,40700.0,40700.0
73,49100.0,49100.0
75,50700.0,50700.0
77,19450.0,38900.0
79,28000.0,84000.0
80,39200.0,39200.0
81,49200.0,49200.0
82,35900.0,35900.0
84,20075.0,80300.0
85,24850.0,49700.0
86,34900.0,34900.0
87,50300.0,50300.0
89,24950.0,49900.0
90,22150.0,44300.0
91,43800.0,43800.0
92,42400.0,42400.0
93,30850.0,123400.0
94,37700.0,37700.0
97,41750.0,83500.0
98,40400.0,40400.0
99,43750.0,87500.0
100,45100.0,45100.0
101,33800.0,33800.0
102,41600.0,41600.0
104,22366.666666666668,67100.0
105,37300.0,37300.0
106,45700.0,45700.0
108,39900.0,39900.0
110,43750.0,87500.0
112,45000.0,45000.0
113,47100.0,47100.0
115,29800.0,89400.0
116,23766.666666666668,71300.0
117,45200.0,45200.0
118,37800.0,37800.0
119,36000.0,36000.0
120,31125.0,124500.0
122,42700.0,42700.0
124,44500.0,89000.0
125,48550.0,97100.0
126,44800.0,44800.0
127,24950.0,49900.0
128,49600.0,49600.0
129,36400.0,36400.0
131,41050.0,82100.0
133,48300.0,96600.0
134,37900.0,75800.0
136,35600.0,35600.0
140,21350.0,42700.0
142,40000.0,80000.0
144,43600.0,43600.0
145,46500.0,46500.0
146,44300.0,44300.0
147,24700.0,49400.0
148,25366.666666666668,76100.0
149,42200.0,42200.0
151,31066.666666666668,93200.0
152,38300.0,38300.0
153,37100.0,37100.0
154,19250.0,38500.0
155,44800.0,44800.0
156,42100.0,42100.0
157,35800.0,35800.0
158,37550.0,75100.0
159,42700.0,85400.0
160,41550.0,83100.0
161,41450.0,82900.0
162,38400.0,38400.0
163,36100.0,36100.0
165,20350.0,40700.0
166,34600.0,34600.0
167,39900.0,39900.0
169,36300.0,72600.0
172,42100.0,42100.0
174,20700.0,41400.0
176,39300.0,39300.0
177,35833.333333333336,107500.0
179,30500.0,30500.0
180,37600.0,37600.0
181,41600.0,41600.0
182,33000.0,33000.0
184,38950.0,77900.0
186,35000.0,70000.0
187,23933.333333333332,71800.0
188,38000.0,38000.0
189,34300.0,34300.0
190,36750.0,73500.0
191,36100.0,36100.0
192,34500.0,34500.0
193,25700.0,77100.0
195,22250.0,44500.0
196,21050.0,42100.0
198,34000.0,34000.0
199,37200.0,74400.0
200,26500.0,79500.0
201,40200.0,40200.0
202,31200.0,31200.0
203,44600.0,44600.0
204,39700.0,39700.0
205,33700.0,33700.0
206,31100.0,31100.0
207,42600.0,42600.0
209,41900.0,83800.0
210,34500.0,69000.0
211,23400.0,70200.0
212,38900.0,77800.0
213,40750.0,81500.0
214,30450.0,60900.0
215,31300.0,31300.0
216,17900.0,35800.0
217,39000.0,39000.0
219,34700.0,34700.0
221,36000.0,72000.0
222,35900.0,35900.0
223,34700.0,34700.0
224,19700.0,39400.0
226,32900.0,32900.0
228,34650.0,69300.0
229,28750.0,57500.0
233,31550.0,63100.0
234,30100.0,30100.0
236,26900.0,80700.0
238,37300.0,37300.0
239,41500.0,41500.0
241,21450.0,42900.0
242,43100.0,43100.0
243,42000.0,42000.0
244,38800.0,38800.0
245,29100.0,116400.0
246,30850.0,61700.0
247,33900.0,33900.0
248,19600.0,39200.0
249,40600.0,40600.0
251,34550.0,69100.0
252,32350.0,64700.0
253,27550.0,110200.0
254,35600.0,35600.0
256,16450.0,32900.0
257,32900.0,32900.0
258,37700.0,37700.0
260,31700.0,31700.0
261,37400.0,37400.0
262,29500.0,59000.0
263,29700.0,29700.0
264,42700.0,42700.0
265,42400.0,42400.0
267,29300.0,29300.0
268,35200.0,35200.0
269,34800.0,69600.0
271,41300.0,41300.0
272,30200.0,30200.0
273,33200.0,66400.0
274,29800.0,29800.0
275,15650.0,62600.0
276,36100.0,72200.0
277,32200.0,64400.0
279,29000.0,29000.0
282,30100.0,30100.0
283,34300.0,68600.0
284,32300.0,64600.0
285,32300.0,32300.0
286,27300.0,27300.0
287,31050.0,62100.0
289,33500.0,33500.0
290,17100.0,34200.0
291,24800.0,74400.0
293,38300.0,38300.0
294,33300.0,33300.0
297,24300.0,72900.0
298,19850.0,39700.0
