id,period,tick,price,quantity
1,1,1,20.03,39800.0
2,1,1,19.98,50100.0
4,1,3,19.98,42800.0
6,1,3,20.01,55700.0
3,1,3,19.95,50500.0
5,1,3,20.01,43100.0
7,1,4,19.97,54300.0
8,1,4,19.97,400.0
9,1,6,20.01,45600.0
10,1,6,19.98,500.0
11,1,7,19.88,53600.0
12,1,7,19.89,55200.0
13,1,7,19.94,1500.0
14,1,8,20.04,42100.0
15,1,9,20.13,40800.0
16,1,9,20.13,2300.0
17,1,9,20.13,37500.0
18,1,10,20.13,47000.0
19,1,10,20.09,44000.0
20,1,12,20.11,41000.0
21,1,13,20.16,51700.0
22,1,13,20.19,55900.0
23,1,13,20.21,43800.0
25,1,15,20.17,50800.0
24,1,15,20.17,49400.0
26,1,16,20.24,48400.0
27,1,17,20.23,55500.0
28,1,19,20.28,59800.0
29,1,20,20.28,58600.0
30,1,22,20.39,45400.0
31,1,22,20.4,4500.0
32,1,25,20.33,53800.0
33,1,25,20.32,3100.0
34,1,26,20.37,54600.0
35,1,27,20.48,56000.0
36,1,27,20.48,57200.0
38,1,29,20.92,600.0
37,1,29,20.89,51800.0
39,1,31,20.97,38800.0
40,1,32,20.92,45000.0
41,1,32,20.91,48100.0
42,1,34,21.01,45700.0
43,1,34,21.02,1700.0
44,1,35,21.04,38900.0
45,1,35,21.04,16700.0
47,1,36,21.15,39500.0
46,1,36,21.18,42500.0
48,1,38,21.34,49900.0
49,1,38,21.36,39700.0
50,1,40,21.38,42500.0
51,1,41,21.46,46800.0
52,1,43,21.71,37600.0
53,1,44,21.88,39700.0
54,1,46,21.91,53400.0
55,1,47,21.93,41600.0
56,1,49,21.87,53800.0
57,1,49,21.82,44200.0
58,1,49,21.81,6400.0
60,1,50,21.98,52200.0
59,1,50,21.98,50300.0
61,1,53,21.91,46200.0
62,1,53,21.96,41600.0
63,1,53,21.92,37600.0
64,1,55,21.89,41400.0
65,1,58,21.78,44100.0
66,1,59,21.95,50500.0
67,1,59,21.99,49000.0
68,1,60,22.08,53100.0
69,1,62,22.0,53800.0
70,1,64,22.63,41900.0
73,1,65,22.44,13800.0
71,1,65,22.45,36800.0
72,1,65,22.43,35800.0
74,1,66,22.44,44000.0
75,1,67,22.72,40300.0
76,1,67,22.67,38400.0
77,1,69,22.84,38500.0
78,1,71,22.84,37700.0
79,1,72,22.85,49600.0
80,1,73,22.98,43700.0
83,1,74,23.24,16100.0
81,1,74,23.2,34900.0
82,1,74,23.23,34600.0
84,1,75,23.16,37500.0
85,1,75,23.18,39100.0
86,1,77,23.29,41700.0
87,1,78,23.24,35700.0
89,1,80,23.38,36000.0
88,1,80,23.44,35400.0
91,1,83,23.25,2800.0
90,1,83,23.25,48200.0
92,1,84,23.16,51600.0
94,1,85,23.35,35800.0
93,1,85,23.32,48000.0
95,1,87,23.33,34100.0
96,1,88,23.33,47200.0
97,1,89,23.36,50600.0
98,1,91,23.73,44700.0
99,1,91,23.75,38000.0
100,1,91,23.76,3000.0
101,1,92,23.82,50100.0
102,1,92,23.87,42000.0
103,1,93,23.93,37200.0
105,1,94,24.09,33300.0
104,1,94,24.14,48800.0
107,1,95,24.01,36100.0
106,1,95,24.0,38600.0
108,1,97,23.79,38700.0
109,1,98,24.02,37700.0
110,1,98,24.02,48900.0
111,1,99,24.14,45800.0
112,1,99,24.13,3500.0
113,1,100,24.41,35300.0
115,1,102,24.25,6000.0
114,1,102,24.25,41400.0
118,1,103,24.51,31400.0
116,1,103,24.48,39900.0
117,1,103,24.48,1800.0
119,1,104,24.48,43700.0
120,1,104,24.51,40200.0
121,1,104,24.54,4200.0
122,1,105,24.45,36400.0
123,1,105,24.4,40400.0
124,1,106,24.31,44400.0
125,1,108,24.04,35200.0
126,1,109,24.21,33300.0
128,1,110,24.15,200.0
127,1,110,24.15,40100.0
129,1,111,24.12,39900.0
130,1,111,24.17,44300.0
131,1,111,24.17,4800.0
132,1,111,24.17,34800.0
134,1,113,24.23,5000.0
133,1,113,24.21,33100.0
136,1,115,24.28,34600.0
135,1,115,24.25,35500.0
140,1,116,24.2,44200.0
137,1,116,24.2,34900.0
138,1,116,24.22,44600.0
139,1,116,24.22,1600.0
142,1,118,23.91,5600.0
143,1,118,23.92,36200.0
141,1,118,23.91,39600.0
144,1,119,23.77,33900.0
145,1,120,23.62,34100.0
146,1,122,23.43,37000.0
147,1,124,23.36,34500.0
148,1,126,23.3,44400.0
149,1,127,23.36,50500.0
150,1,128,23.48,37200.0
151,1,129,23.39,42800.0
152,1,131,23.45,34500.0
153,1,133,23.72,47600.0
154,1,134,23.81,35200.0
155,1,135,23.81,44600.0
156,1,137,23.98,47400.0
157,1,137,23.98,43900.0
159,1,138,24.09,5300.0
158,1,138,24.1,42000.0
160,1,139,24.37,44100.0
162,1,141,24.33,42600.0
161,1,141,24.37,48900.0
163,1,142,24.29,46400.0
164,1,143,24.32,35200.0
165,1,143,24.31,1900.0
166,1,144,24.28,38200.0
167,1,145,24.26,33900.0
168,1,145,24.25,2200.0
169,1,146,24.22,35800.0
171,1,147,24.15,8900.0
170,1,147,24.16,33500.0
172,1,149,24.17,41900.0
173,1,151,24.23,39600.0
174,1,151,24.25,33500.0
175,1,151,24.27,8700.0
176,1,152,24.46,40800.0
177,1,152,24.42,1600.0
178,1,154,24.75,33600.0
179,1,156,25.04,42700.0
180,1,157,25.06,34500.0
181,1,160,25.15,47300.0
182,1,161,25.28,39500.0
183,1,162,25.39,36400.0
185,1,164,25.58,1200.0
184,1,164,25.58,45500.0
186,1,164,25.58,35600.0
187,1,165,25.71,40200.0
189,1,166,25.78,37000.0
188,1,166,25.76,43200.0
190,1,167,25.77,33300.0
191,1,168,25.78,43400.0
192,1,170,25.79,32000.0
193,1,170,25.85,42100.0
194,1,170,25.79,40100.0
197,1,175,25.9,5100.0
195,1,175,25.86,32200.0
196,1,175,25.89,40000.0
198,1,176,25.82,41000.0
199,1,177,26.14,35100.0
200,1,177,26.14,36200.0
201,1,179,26.33,30700.0
202,1,179,26.36,30800.0
203,1,180,26.48,40500.0
204,1,180,26.52,33100.0
205,1,181,26.42,42600.0
206,1,182,26.44,31400.0
207,1,183,26.47,33700.0
209,1,184,26.17,5100.0
208,1,184,26.19,36200.0
210,1,185,26.48,45100.0
211,1,186,26.35,42800.0
212,1,187,26.1,33400.0
213,1,187,26.09,5900.0
214,1,187,26.14,41300.0
216,1,189,26.28,43100.0
215,1,189,26.26,42400.0
217,1,191,26.32,44100.0
218,1,193,26.28,31800.0
219,1,194,26.25,32000.0
220,1,195,26.34,31800.0
221,1,196,26.28,32200.0
222,1,196,26.28,8600.0
223,1,197,26.41,37700.0
224,1,200,26.57,31000.0
227,1,202,26.78,4400.0
226,1,202,26.77,36800.0
225,1,202,26.76,31600.0
228,1,203,26.87,37400.0
229,1,203,26.87,5900.0
230,1,204,27.01,41900.0
231,1,204,27.03,40500.0
232,1,205,27.16,35100.0
233,1,205,27.16,44000.0
234,1,206,26.97,41500.0
238,1,207,26.87,1000.0
235,1,207,26.89,34000.0
236,1,207,26.89,1400.0
237,1,207,26.88,38500.0
239,1,208,26.85,32400.0
240,1,208,26.82,31700.0
241,1,208,26.82,1400.0
242,1,210,26.9,32200.0
243,1,211,26.95,34300.0
244,1,211,26.95,39000.0
246,1,212,26.64,39600.0
245,1,212,26.7,36600.0
249,1,213,26.97,44200.0
247,1,213,26.97,34400.0
248,1,213,26.97,37700.0
250,1,214,26.9,42300.0
251,1,215,27.03,38200.0
252,1,215,27.07,34300.0
253,1,216,27.15,42000.0
254,1,217,27.12,40100.0
255,1,218,27.22,34000.0
256,1,219,27.13,38800.0
257,1,220,27.17,36800.0
258,1,220,27.14,30100.0
259,1,220,27.14,3800.0
262,1,221,27.12,4100.0
260,1,221,27.18,34700.0
261,1,221,27.14,29900.0
263,1,222,27.41,30800.0
264,1,222,27.41,5700.0
265,1,223,27.35,32600.0
266,1,225,27.4,29300.0
267,1,225,27.4,3200.0
268,1,226,27.58,38000.0
269,1,227,27.79,31600.0
270,1,227,27.79,3900.0
271,1,227,27.79,29100.0
272,1,228,27.82,36400.0
273,1,229,27.86,38600.0
274,1,231,27.6,30700.0
275,1,231,27.61,12300.0
279,1,232,27.58,42600.0
276,1,232,27.64,33800.0
277,1,232,27.6,29800.0
278,1,232,27.58,11900.0
280,1,233,27.71,36100.0
281,1,233,27.65,34500.0
282,1,234,27.6,34600.0
283,1,234,27.66,40400.0
284,1,235,27.65,39500.0
285,1,236,27.68,33700.0
286,1,236,27.68,33700.0
288,1,238,27.53,33500.0
287,1,238,27.48,38400.0
289,1,240,27.68,42900.0
