tick,open,high,low,close
1,20.0,20.01,19.98,20.01
2,20.01,20.01,19.97,19.97
3,19.97,19.97,19.97,19.97
4,19.97,20.0,19.94,19.94
5,19.94,19.99,19.94,19.99
6,19.99,20.01,19.98,20.01
7,20.01,20.01,19.94,19.97
8,19.97,19.97,19.91,19.91
9,19.91,19.93,19.91,19.93
10,19.93,19.95,19.91,19.91
11,19.91,19.95,19.91,19.95
12,19.95,19.95,19.9,19.9
13,19.9,19.95,19.9,19.92
14,19.92,20.02,19.92,20.02
15,20.02,20.05,19.99,19.99
16,19.99,20.0,19.99,20.0
17,20.0,20.01,19.98,20.01
18,20.01,20.01,19.96,19.96
19,19.96,19.96,19.93,19.93
20,19.93,19.97,19.93,19.96
21,19.96,19.99,19.96,19.97
22,19.97,20.03,19.97,19.97
23,19.97,20.02,19.97,20.02
24,20.02,20.02,20.02,20.02
25,20.02,20.02,20.02,20.02
26,20.02,20.04,20.01,20.04
27,20.04,20.04,20.0,20.0
28,20.0,20.0,19.96,19.99
29,19.99,19.99,19.95,19.98
30,19.98,19.98,19.91,19.91
31,19.91,19.94,19.91,19.94
32,19.94,19.95,19.92,19.92
33,19.92,19.99,19.92,19.99
34,19.99,19.99,19.98,19.98
35,19.98,19.99,19.98,19.99
36,19.99,20.03,19.99,20.03
37,20.03,20.04,20.03,20.04
38,20.04,20.04,20.0,20.0
39,20.0,20.0,19.98,20.0
40,20.0,20.0,19.92,19.92
41,19.92,19.96,19.92,19.96
42,19.96,19.97,19.96,19.97
43,19.97,19.98,19.97,19.98
44,19.98,19.98,19.96,19.96
45,19.96,19.98,19.94,19.94
46,19.94,19.97,19.94,19.97
47,19.97,19.97,19.95,19.95
48,19.95,20.0,19.95,20.0
49,20.0,20.03,20.0,20.03
50,20.03,20.03,20.0,20.0
51,20.0,20.07,20.0,20.07
52,20.07,20.07,20.0,20.0
53,20.0,20.05,20.0,20.05
54,20.05,20.08,20.05,20.08
55,20.08,20.08,20.01,20.01
56,20.01,20.05,20.01,20.05
57,20.05,20.07,20.05,20.07
58,20.07,20.1,20.07,20.1
59,20.1,20.1,20.06,20.09
60,20.09,20.09,20.08,20.08
61,20.08,20.11,20.08,20.08
62,20.08,20.12,20.08,20.09
63,20.09,20.09,20.07,20.09
64,20.09,20.09,20.02,20.02
65,20.02,20.03,20.0,20.0
66,20.0,20.01,19.99,19.99
67,19.99,20.03,19.99,20.03
68,20.03,20.05,20.03,20.05
69,20.05,20.1,20.05,20.1
70,20.1,20.11,20.05,20.11
71,20.11,20.11,20.06,20.09
72,20.09,20.09,20.05,20.07
73,20.07,20.07,20.05,20.07
74,20.07,20.07,20.05,20.05
75,20.05,20.05,20.02,20.02
76,20.02,20.08,20.02,20.08
77,20.08,20.08,20.05,20.05
78,20.05,20.05,20.04,20.04
79,20.04,20.05,20.04,20.05
80,20.05,20.05,20.04,20.04
81,20.04,20.04,20.04,20.04
82,20.04,20.04,20.03,20.03
83,20.03,20.03,20.03,20.03
84,20.03,20.03,20.0,20.0
85,20.0,20.02,19.99,19.99
86,19.99,20.02,19.99,20.02
87,20.02,20.02,19.98,20.01
88,20.01,20.01,19.98,19.98
89,19.98,20.06,19.98,20.06
90,20.06,20.06,20.02,20.05
91,20.05,20.05,19.98,19.98
92,19.98,20.07,19.98,20.07
93,20.07,20.07,20.04,20.06
94,20.06,20.06,20.01,20.01
95,20.01,20.06,20.01,20.06
96,20.06,20.06,20.06,20.06
97,20.06,20.09,20.06,20.09
98,20.09,20.11,20.08,20.11
99,20.11,20.11,20.05,20.05
100,20.05,20.11,20.05,20.1
101,20.1,20.1,20.05,20.05
102,20.05,20.09,20.05,20.09
103,20.09,20.09,20.03,20.03
104,20.03,20.07,20.03,20.05
105,20.05,20.08,20.05,20.07
106,20.07,20.08,20.07,20.08
107,20.08,20.08,20.04,20.07
108,20.07,20.07,20.01,20.02
109,20.02,20.02,19.98,19.98
110,19.98,20.0,19.97,20.0
111,20.0,20.0,19.94,19.94
112,19.94,19.96,19.94,19.96
113,19.96,19.96,19.96,19.96
114,19.96,19.96,19.96,19.96
115,19.96,19.96,19.93,19.96
116,19.96,19.96,19.94,19.95
117,19.95,19.98,19.95,19.98
118,19.98,19.99,19.96,19.96
119,19.96,19.99,19.96,19.99
120,19.99,19.99,19.91,19.91
121,19.91,19.91,19.9,19.9
122,19.9,19.94,19.9,19.94
123,19.94,19.94,19.9,19.9
124,19.9,19.9,19.9,19.9
125,19.9,19.91,19.9,19.9
126,19.9,19.95,19.9,19.95
127,19.95,19.96,19.95,19.96
128,19.96,19.99,19.94,19.94
129,19.94,19.94,19.94,19.94
130,19.94,19.98,19.94,19.98
131,19.98,20.0,19.97,20.0
132,20.0,20.0,19.97,19.97
