id,period,tick,price,quantity
213,1,176,25.83,34300.0
214,1,176,25.81,9500.0
215,1,177,26.17,31900.0
216,1,177,26.2,8900.0
217,1,178,26.24,39100.0
218,1,179,26.33,39000.0
219,1,182,26.4,45700.0
222,1,183,26.41,21300.0
221,1,183,26.42,12700.0
220,1,183,26.42,31300.0
223,1,184,26.17,35300.0
225,1,185,26.46,3700.0
224,1,185,26.47,31100.0
226,1,187,26.09,38500.0
227,1,187,26.09,38500.0
228,1,189,26.26,34300.0
229,1,190,26.38,39100.0
233,1,191,26.32,5800.0
232,1,191,26.35,38500.0
231,1,191,26.35,400.0
230,1,191,26.35,42200.0
235,1,193,26.3,2100.0
234,1,193,26.3,37400.0
236,1,195,26.34,35700.0
237,1,195,26.29,32300.0
238,1,195,26.29,9900.0
239,1,197,26.42,33100.0
240,1,198,26.57,44200.0
241,1,200,26.57,37100.0
242,1,200,26.57,43900.0
244,1,202,26.79,1400.0
243,1,202,26.76,34500.0
245,1,203,26.86,35000.0
246,1,204,27.05,39700.0
247,1,206,26.99,41300.0
248,1,207,26.91,38800.0
249,1,207,26.87,3800.0
250,1,207,26.87,34000.0
251,1,208,26.79,37500.0
252,1,209,26.84,31200.0
253,1,213,26.94,34500.0
254,1,215,27.09,32400.0
255,1,216,27.15,29600.0
257,1,220,27.17,42000.0
256,1,220,27.11,34600.0
258,1,221,27.15,32400.0
259,1,221,27.15,7300.0
260,1,221,27.18,31000.0
261,1,221,27.18,37700.0
262,1,222,27.36,41500.0
263,1,223,27.38,34300.0
264,1,225,27.42,34400.0
265,1,225,27.41,29900.0
266,1,226,27.61,29300.0
268,1,228,27.82,800.0
267,1,228,27.81,35800.0
270,1,229,27.86,38400.0
269,1,229,27.86,36000.0
271,1,230,27.69,32100.0
272,1,231,27.55,31700.0
273,1,232,27.61,29300.0
274,1,232,27.58,11200.0
275,1,232,27.64,42500.0
276,1,233,27.65,37800.0
277,1,233,27.7,35400.0
278,1,233,27.71,2400.0
279,1,234,27.65,31000.0
280,1,235,27.66,37000.0
281,1,236,27.72,30400.0
282,1,237,27.54,32700.0
283,1,237,27.5,34600.0
284,1,238,27.48,35400.0
285,1,239,27.62,33500.0
286,1,240,27.67,34500.0
287,1,241,27.7,42400.0
290,1,243,27.66,29700.0
288,1,243,27.66,40100.0
289,1,243,27.66,2900.0
291,1,244,27.74,41700.0
292,1,245,27.9,34300.0
293,1,246,27.93,34500.0
294,1,246,27.93,1200.0
295,1,249,28.19,41800.0
296,1,250,28.21,28700.0
297,1,250,28.21,9000.0
298,1,252,28.28,35300.0
300,1,253,28.0,31900.0
299,1,253,27.97,33100.0
301,1,254,27.97,31200.0
302,1,255,27.86,33700.0
303,1,256,27.83,28800.0
304,1,257,27.69,29600.0
305,1,257,27.7,1800.0
306,1,258,27.83,37000.0
307,1,258,27.82,34600.0
308,1,259,27.73,37900.0
309,1,263,27.82,30900.0
310,1,263,27.8,38300.0
311,1,264,27.97,41300.0
312,1,264,28.01,35500.0
313,1,265,27.96,35400.0
314,1,266,27.84,35000.0
315,1,267,27.79,35200.0
316,1,268,27.84,40500.0
317,1,268,27.84,37000.0
318,1,269,27.92,32700.0
319,1,270,28.1,39700.0
320,1,270,28.08,800.0
321,1,272,27.94,36500.0
323,1,273,28.32,31100.0
322,1,273,28.28,31100.0
324,1,275,28.3,36000.0
325,1,275,28.29,5800.0
326,1,278,28.58,41700.0
327,1,278,28.55,38100.0
328,1,280,28.65,29900.0
329,1,281,28.93,31200.0
330,1,281,28.89,35700.0
333,1,282,29.11,5900.0
331,1,282,29.08,33800.0
332,1,282,29.09,32100.0
334,1,284,29.28,32600.0
335,1,285,29.31,32100.0
336,1,285,29.31,32600.0
337,1,285,29.31,40300.0
338,1,286,29.35,28700.0
339,1,287,29.49,36300.0
340,1,289,29.33,31000.0
341,1,289,29.31,31300.0
343,1,291,28.96,30200.0
342,1,291,28.97,30100.0
344,1,292,28.91,29000.0
345,1,292,28.91,2800.0
346,1,293,28.8,29100.0
347,1,294,28.96,38700.0
348,1,296,28.83,30300.0
349,1,297,28.75,32500.0
350,1,297,28.75,7200.0
351,1,297,28.74,31200.0
352,1,298,28.68,32600.0
353,1,298,28.66,4900.0
