tick,avg_trade_volume,total_volume
0,29666.666666666668,89000.0
1,48600.0,48600.0
2,42800.0,42800.0
3,46700.0,46700.0
4,47950.0,95900.0
5,52400.0,104800.0
6,54600.0,54600.0
7,28200.0,56400.0
8,34533.333333333336,103600.0
10,43400.0,86800.0
12,56100.0,56100.0
13,46100.0,92200.0
14,59200.0,59200.0
15,49066.666666666664,147200.0
16,42700.0,42700.0
17,55100.0,55100.0
19,50600.0,50600.0
20,59000.0,59000.0
21,30400.0,91200.0
22,48350.0,96700.0
25,40300.0,40300.0
26,54200.0,54200.0
28,33400.0,100200.0
29,56200.0,56200.0
30,25200.0,50400.0
31,52600.0,52600.0
32,50700.0,50700.0
34,47500.0,47500.0
35,43900.0,43900.0
36,49000.0,98000.0
37,51800.0,51800.0
39,44600.0,44600.0
40,56600.0,56600.0
43,29350.0,58700.0
45,50150.0,100300.0
47,48050.0,96100.0
48,57300.0,57300.0
49,58300.0,58300.0
50,57300.0,57300.0
51,51300.0,51300.0
52,47650.0,95300.0
54,32433.333333333332,97300.0
55,52300.0,104600.0
56,49200.0,49200.0
58,46500.0,46500.0
59,55100.0,55100.0
61,59200.0,59200.0
62,37866.666666666664,113600.0
63,44100.0,44100.0
64,45400.0,45400.0
65,48550.0,97100.0
66,40900.0,40900.0
69,54300.0,54300.0
70,29700.0,89100.0
71,40800.0,81600.0
72,42200.0,42200.0
73,43100.0,43100.0
75,24350.0,97400.0
76,46050.0,92100.0
78,27300.0,54600.0
80,53200.0,53200.0
81,41500.0,41500.0
82,46100.0,46100.0
84,28400.0,56800.0
85,59400.0,59400.0
87,44600.0,89200.0
88,28750.0,57500.0
89,34900.0,104700.0
90,42000.0,42000.0
91,56900.0,113800.0
92,51000.0,102000.0
93,29850.0,59700.0
94,46300.0,46300.0
97,51600.0,51600.0
98,49200.0,49200.0
99,50900.0,50900.0
100,49750.0,99500.0
102,47500.0,47500.0
103,45750.0,91500.0
104,47900.0,47900.0
105,24950.0,49900.0
107,55100.0,55100.0
108,55000.0,55000.0
110,55950.0,111900.0
111,46700.0,93400.0
113,28450.0,56900.0
115,47200.0,47200.0
116,28800.0,57600.0
118,54000.0,54000.0
119,55100.0,165300.0
121,41300.0,41300.0
122,41800.0,41800.0
125,57400.0,57400.0
126,54800.0,54800.0
128,52100.0,104200.0
130,41700.0,41700.0
131,47933.333333333336,143800.0
134,48400.0,96800.0
135,41000.0,41000.0
136,44000.0,44000.0
137,41900.0,41900.0
139,41300.0,41300.0
142,42350.0,84700.0
143,42100.0,42100.0
145,28325.0,113300.0
146,49800.0,49800.0
148,25450.0,50900.0
149,33166.666666666664,99500.0
150,51100.0,51100.0
151,54800.0,54800.0
153,25300.0,50600.0
154,26100.0,52200.0
155,41700.0,41700.0
156,46450.0,92900.0
157,58000.0,58000.0
158,52966.666666666664,158900.0
159,45100.0,45100.0
160,43600.0,43600.0
161,53400.0,106800.0
162,52700.0,52700.0
163,46400.0,46400.0
164,48700.0,97400.0
168,41300.0,41300.0
169,57400.0,57400.0
170,54000.0,54000.0
171,26900.0,53800.0
172,54700.0,54700.0
173,25200.0,50400.0
175,47850.0,95700.0
176,45400.0,45400.0
177,36300.0,108900.0
178,23550.0,47100.0
179,28050.0,112200.0
180,27950.0,55900.0
181,44500.0,44500.0
182,43900.0,43900.0
184,33800.0,101400.0
188,24150.0,48300.0
190,37333.333333333336,112000.0
191,47500.0,47500.0
192,60200.0,60200.0
195,48100.0,48100.0
196,45700.0,45700.0
197,48150.0,96300.0
198,46033.333333333336,138100.0
201,46350.0,92700.0
202,58000.0,58000.0
203,24400.0,48800.0
206,54300.0,108600.0
207,56200.0,112400.0
208,45700.0,45700.0
209,51000.0,51000.0
211,43900.0,43900.0
212,53700.0,53700.0
213,53600.0,53600.0
214,49250.0,98500.0
216,51300.0,51300.0
218,48900.0,97800.0
219,29750.0,59500.0
222,25250.0,50500.0
224,29150.0,58300.0
227,55100.0,110200.0
228,50550.0,101100.0
229,53100.0,53100.0
231,32866.666666666664,98600.0
232,50100.0,100200.0
234,42300.0,42300.0
235,47000.0,94000.0
236,57400.0,57400.0
237,52800.0,105600.0
238,45400.0,90800.0
239,44500.0,44500.0
240,25450.0,50900.0
245,55700.0,111400.0
246,53300.0,53300.0
247,29333.333333333332,88000.0
248,43200.0,43200.0
249,47800.0,47800.0
250,52300.0,52300.0
251,33733.333333333336,101200.0
252,28950.0,57900.0
253,45200.0,45200.0
254,35133.333333333336,105400.0
258,31500.0,94500.0
260,45750.0,91500.0
262,40325.0,161300.0
263,50100.0,50100.0
264,45200.0,45200.0
265,41500.0,41500.0
267,54000.0,54000.0
270,33600.0,100800.0
272,23850.0,47700.0
273,49900.0,49900.0
275,44300.0,44300.0
276,50350.0,100700.0
277,56200.0,56200.0
278,45800.0,91600.0
279,48300.0,96600.0
280,40800.0,40800.0
281,45900.0,91800.0
282,24500.0,49000.0
283,49500.0,99000.0
284,47100.0,47100.0
285,49200.0,49200.0
287,40700.0,40700.0
288,45800.0,45800.0
290,36966.666666666664,110900.0
291,30200.0,90600.0
293,53466.666666666664,160400.0
297,40500.0,40500.0
